#Error vs time for scheme 1, model 4
#1-t                     2-Error(t)               
0                        0                        
0.1                      9.25554e-07              
0.2                      3.56156e-06              
0.3                      7.86101e-06              
0.4                      1.37805e-05              
0.5                      2.12551e-05              
0.6                      3.01685e-05              
0.7                      4.03279e-05              
0.8                      5.14571e-05              
0.9                      6.32014e-05              
1                        7.51361e-05              
1.1                      8.68203e-05              
1.2                      9.77895e-05              
1.3                      0.000107596              
1.4                      0.000115852              
1.5                      0.000122228              
1.6                      0.000126491              
1.7                      0.000128498              
1.8                      0.000128184              
1.9                      0.000125605              
2                        0.000120927              
2.1                      0.000114377              
2.2                      0.000106272              
2.3                      9.69757e-05              
2.4                      8.69354e-05              
2.5                      7.66239e-05              
2.6                      6.65405e-05              
2.7                      5.71834e-05              
2.8                      4.90257e-05              
2.9                      4.2505e-05               
3                        3.79951e-05              
3.1                      3.57828e-05              
3.2                      3.60443e-05              
3.3                      3.88225e-05              
3.4                      4.4007e-05               
3.5                      5.1317e-05               
3.6                      6.02894e-05              
3.7                      7.02728e-05              
3.8                      8.04299e-05              
3.9                      8.97477e-05              
4                        9.70677e-05              
4.1                      0.000101077              
4.2                      0.000100384              
4.3                      9.3526e-05               
4.4                      7.90548e-05              
4.5                      5.55286e-05              
4.6                      2.15651e-05              
4.7                      2.41055e-05              
4.8                      8.25838e-05              
4.9                      0.000154757              
5                        0.000241188              
5.1                      0.000342038              
5.2                      0.00045688               
5.3                      0.000584566              
5.4                      0.000723047              
5.5                      0.00086923               
5.6                      0.00101892               
5.7                      0.00116688               
5.8                      0.00130699               
5.9                      0.00143269               
6                        0.0015374                
6.1                      0.00161523               
6.2                      0.00166154               
6.3                      0.0016735                
