#Error vs time for scheme 1, model 2
#1-t                     2-Error(t)               
0                        0                        
0.05                     5.21954e-06              
0.1                      1.05295e-05              
0.15                     1.60172e-05              
0.2                      2.17641e-05              
0.25                     2.78429e-05              
0.3                      3.43154e-05              
0.35                     4.12306e-05              
0.4                      4.86223e-05              
0.45                     5.6511e-05               
0.5                      6.49009e-05              
0.55                     7.37809e-05              
0.6                      8.31256e-05              
0.65                     9.2896e-05               
0.7                      0.000103041              
0.75                     0.0001135                
0.8                      0.000124203              
0.85                     0.000135074              
0.9                      0.000146032              
0.95                     0.000156996              
1                        0.000167881              
1.05                     0.000178604              
1.1                      0.000189087              
1.15                     0.000199252              
1.2                      0.000209027              
1.25                     0.000218346              
1.3                      0.000227148              
1.35                     0.000235381              
1.4                      0.000242997              
1.45                     0.000249956              
1.5                      0.000256224              
1.55                     0.000261772              
1.6                      0.000266581              
1.65                     0.000270634              
1.7                      0.000273922              
1.75                     0.000276442              
1.8                      0.000278194              
1.85                     0.000279184              
1.9                      0.000279423              
1.95                     0.000278922              
2                        0.0002777                
2.05                     0.00027578               
2.1                      0.000273186              
2.15                     0.000269947              
2.2                      0.000266094              
2.25                     0.000261662              
2.3                      0.000256687              
2.35                     0.00025121               
2.4                      0.000245275              
2.45                     0.000238926              
2.5                      0.000232213              
2.55                     0.000225187              
2.6                      0.000217903              
2.65                     0.000210418              
2.7                      0.000202795              
2.75                     0.000195098              
2.8                      0.000187396              
2.85                     0.000179759              
2.9                      0.000172267              
2.95                     0.000164999              
3                        0.000158043              
3.05                     0.000151492              
3.1                      0.000145445              
3.15                     0.000140008              
3.2                      0.000135297              
3.25                     0.000131433              
3.3                      0.000128552              
3.35                     0.000126797              
3.4                      0.000126327              
3.45                     0.000127314              
3.5                      0.000129946              
3.55                     0.000134431              
3.6                      0.000140995              
3.65                     0.000149891              
3.7                      0.000161395              
3.75                     0.000175815              
3.8                      0.000193488              
3.85                     0.000214792              
3.9                      0.000240143              
3.95                     0.000270005              
4                        0.00030489               
4.05                     0.000345366              
4.1                      0.000392062              
4.15                     0.00044567               
4.2                      0.000506954              
4.25                     0.000576753              
4.3                      0.000655983              
4.35                     0.000745643              
4.4                      0.000846818              
4.45                     0.000960674              
4.5                      0.00108846               
4.55                     0.00123152               
4.6                      0.00139124               
4.65                     0.00156908               
4.7                      0.00176656               
4.75                     0.00198521               
4.8                      0.00222654               
4.85                     0.00249206               
4.9                      0.00278318               
4.95                     0.00310121               
5                        0.00344726               
5.05                     0.00382224               
5.1                      0.00422676               
5.15                     0.00466105               
5.2                      0.00512493               
5.25                     0.00561771               
5.3                      0.00613816               
5.35                     0.00668438               
5.4                      0.00725384               
5.45                     0.00784328               
5.5                      0.00844869               
5.55                     0.00906536               
5.6                      0.00968786               
5.65                     0.0103101                
5.7                      0.0109254                
5.75                     0.0115267                
5.8                      0.0121065                
5.85                     0.0126571                
5.9                      0.0131709                
5.95                     0.0136405                
6                        0.0140587                
6.05                     0.0144191                
6.1                      0.0147159                
6.15                     0.0149443                
6.2                      0.0151008                
6.25                     0.0151826                
6.3                      0.0151887                
