#Error vs time for scheme 1, model 4
#1-t                     2-Error(t)               
0                        0                        
0.05                     2.92502e-08              
0.1                      1.13829e-07              
0.15                     2.53396e-07              
0.2                      4.47826e-07              
0.25                     6.97127e-07              
0.3                      1.00133e-06              
0.35                     1.36035e-06              
0.4                      1.77389e-06              
0.45                     2.24125e-06              
0.5                      2.76128e-06              
0.55                     3.33218e-06              
0.6                      3.95149e-06              
0.65                     4.616e-06                
0.7                      5.32169e-06              
0.75                     6.06377e-06              
0.8                      6.83668e-06              
0.85                     7.63415e-06              
0.9                      8.44929e-06              
0.95                     9.27334e-06              
1                        1.0099e-05               
1.05                     1.09197e-05              
1.1                      1.17269e-05              
1.15                     1.25123e-05              
1.2                      1.32675e-05              
1.25                     1.39845e-05              
1.3                      1.46558e-05              
1.35                     1.52742e-05              
1.4                      1.58304e-05              
1.45                     1.63235e-05              
1.5                      1.67475e-05              
1.55                     1.70975e-05              
1.6                      1.73691e-05              
1.65                     1.75621e-05              
1.7                      1.76742e-05              
1.75                     1.77056e-05              
1.8                      1.76554e-05              
1.85                     1.75237e-05              
1.9                      1.73144e-05              
1.95                     1.70304e-05              
2                        1.66758e-05              
2.05                     1.62551e-05              
2.1                      1.57738e-05              
2.15                     1.52378e-05              
2.2                      1.46539e-05              
2.25                     1.40328e-05              
2.3                      1.33792e-05              
2.35                     1.27011e-05              
2.4                      1.20069e-05              
2.45                     1.1305e-05               
2.5                      1.0604e-05               
2.55                     9.91259e-06              
2.6                      9.23931e-06              
2.65                     8.59252e-06              
2.7                      7.9803e-06               
2.75                     7.41039e-06              
2.8                      6.89005e-06              
2.85                     6.42602e-06              
2.9                      6.0244e-06               
2.95                     5.69058e-06              
3                        5.42917e-06              
3.05                     5.2439e-06               
3.1                      5.1376e-06               
3.15                     5.11209e-06              
3.2                      5.16816e-06              
3.25                     5.30553e-06              
3.3                      5.52278e-06              
3.35                     5.81737e-06              
3.4                      6.18561e-06              
3.45                     6.62262e-06              
3.5                      7.12243e-06              
3.55                     7.67789e-06              
3.6                      8.2808e-06               
3.65                     8.92189e-06              
3.7                      9.5909e-06               
3.75                     1.02767e-05              
3.8                      1.09672e-05              
3.85                     1.16496e-05              
3.9                      1.23106e-05              
3.95                     1.29362e-05              
4                        1.3512e-05               
4.05                     1.40233e-05              
4.1                      1.44551e-05              
4.15                     1.47941e-05              
4.2                      1.50251e-05              
4.25                     1.51315e-05              
4.3                      1.50989e-05              
4.35                     1.49133e-05              
4.4                      1.45613e-05              
4.45                     1.403e-05                
4.5                      1.33074e-05              
4.55                     1.23808e-05              
4.6                      1.12408e-05              
4.65                     9.8792e-06               
4.7                      8.28849e-06              
4.75                     6.45874e-06              
4.8                      4.38558e-06              
4.85                     2.06536e-06              
4.9                      5.03525e-07              
4.95                     3.32324e-06              
5                        6.39405e-06              
5.05                     9.71053e-06              
5.1                      1.32665e-05              
5.15                     1.7053e-05               
5.2                      2.10582e-05              
5.25                     2.52669e-05              
5.3                      2.96606e-05              
5.35                     3.42186e-05              
5.4                      3.89159e-05              
5.45                     4.37211e-05              
5.5                      4.86005e-05              
5.55                     5.35166e-05              
5.6                      5.84282e-05              
5.65                     6.3291e-05               
5.7                      6.80577e-05              
5.75                     7.26791e-05              
5.8                      7.71042e-05              
5.85                     8.1282e-05               
5.9                      8.51617e-05              
5.95                     8.86942e-05              
6                        9.1833e-05               
6.05                     9.45358e-05              
6.1                      9.67649e-05              
6.15                     9.84887e-05              
6.2                      9.96826e-05              
6.25                     0.000100329              
6.3                      0.00010042               
