#Error for different scheme0
1-tau                    2-Maximum Error          3-EOCS                   
0.5                      2.24581                  	
0.25                     0.721837                 1.63749
0.125                    0.192109                 1.90975
0.0625                   0.0534524                1.8456
0.03125                  0.0145404                1.87819
0.015625                 0.00383184               1.92395
0.0078125                0.00190908               1.00516
0.00390625               0.00095649               0.997053
0.00195312               0.000478774              0.998404
0.000976562              0.000239526              0.999165
0.000488281              0.000119798              0.999572
0.000244141              5.99082e-05              0.999783
