#Error vs time for scheme 1, model 2
#1-t                     2-Error(t)               
0                        0                        
0.1                      4.20235e-05              
0.2                      8.6871e-05               
0.3                      0.000136994              
0.4                      0.000194156              
0.5                      0.000259224              
0.6                      0.000332104              
0.7                      0.000411777              
0.8                      0.000496466              
0.9                      0.000583859              
1                        0.000671352              
1.1                      0.000756297              
1.2                      0.000836184              
1.3                      0.000908808              
1.4                      0.000972336              
1.5                      0.00102535               
1.6                      0.00106688               
1.7                      0.00109632               
1.8                      0.00111346               
1.9                      0.0011184                
2                        0.00111152               
2.1                      0.00109345               
2.2                      0.00106507               
2.3                      0.00102741               
2.4                      0.000981709              
2.5                      0.000929403              
2.6                      0.000872092              
2.7                      0.000811575              
2.8                      0.000749872              
2.9                      0.000689241              
3                        0.000632223              
3.1                      0.000581699              
3.2                      0.000540968              
3.3                      0.000513846              
3.4                      0.000504804              
3.5                      0.00051914               
3.6                      0.000563207              
3.7                      0.000644695              
3.8                      0.000772991              
3.9                      0.000959598              
4                        0.00121868               
4.1                      0.0015676                
4.2                      0.00202761               
4.3                      0.00262439               
4.4                      0.00338867               
4.5                      0.00435642               
4.6                      0.00556871               
4.7                      0.00707086               
4.8                      0.00891048               
4.9                      0.0111343                
5                        0.0137832                
5.1                      0.0168861                
5.2                      0.0204515                
5.3                      0.0244595                
5.4                      0.0288529                
5.5                      0.0335316                
5.6                      0.0383499                
5.7                      0.0431196                
5.8                      0.0476206                
5.9                      0.0516166                
6                        0.0548778                
6.1                      0.0572043                
6.2                      0.0584495                
6.3                      0.0585369                
