#Error vs time for scheme 1, model 0
#1-t                     2-Error(t)               
0                        0                        
0.05                     2.08307e-05              
0.1                      0.000103992              
0.15                     0.000248446              
0.2                      0.000452086              
0.25                     0.000711794              
0.3                      0.00102353               
0.35                     0.00138246               
0.4                      0.00178306               
0.45                     0.00221932               
0.5                      0.00268489               
0.55                     0.00317325               
0.6                      0.00367787               
0.65                     0.00419237               
0.7                      0.00471068               
0.75                     0.00522714               
0.8                      0.00573658               
0.85                     0.00623444               
0.9                      0.00671677               
0.95                     0.00718028               
1                        0.00762232               
1.05                     0.00804089               
1.1                      0.00843459               
1.15                     0.00880256               
1.2                      0.00914445               
1.25                     0.00946032               
1.3                      0.00975063               
1.35                     0.0100161                
1.4                      0.0102578                
1.45                     0.0104767                
1.5                      0.0106744                
1.55                     0.010852                 
1.6                      0.011011                 
1.65                     0.0111529                
1.7                      0.0112791                
1.75                     0.0113909                
1.8                      0.0114895                
1.85                     0.0115764                
1.9                      0.0116525                
1.95                     0.0117189                
2                        0.0117766                
2.05                     0.0118266                
2.1                      0.0118695                
2.15                     0.0119061                
2.2                      0.0119371                
2.25                     0.011963                 
2.3                      0.0119844                
2.35                     0.0120016                
2.4                      0.012015                 
2.45                     0.012025                 
2.5                      0.0120319                
2.55                     0.0120358                
2.6                      0.012037                 
2.65                     0.012037                 
2.7                      0.012037                 
2.75                     0.012037                 
2.8                      0.012037                 
2.85                     0.012037                 
2.9                      0.012037                 
2.95                     0.012037                 
3                        0.012037                 
3.05                     0.012037                 
3.1                      0.012037                 
3.15                     0.012037                 
3.2                      0.012037                 
3.25                     0.012037                 
3.3                      0.012037                 
3.35                     0.012037                 
3.4                      0.012037                 
3.45                     0.012037                 
3.5                      0.012037                 
3.55                     0.012037                 
3.6                      0.012037                 
3.65                     0.012037                 
3.7                      0.012037                 
3.75                     0.012037                 
3.8                      0.012037                 
3.85                     0.012037                 
3.9                      0.012037                 
3.95                     0.012037                 
4                        0.012037                 
4.05                     0.012037                 
4.1                      0.012037                 
4.15                     0.012037                 
4.2                      0.012037                 
4.25                     0.012037                 
4.3                      0.012037                 
4.35                     0.012037                 
4.4                      0.012037                 
4.45                     0.012037                 
4.5                      0.012037                 
4.55                     0.012037                 
4.6                      0.012037                 
4.65                     0.012037                 
4.7                      0.012037                 
4.75                     0.012037                 
4.8                      0.012037                 
4.85                     0.012037                 
4.9                      0.012037                 
4.95                     0.012037                 
5                        0.012037                 
5.05                     0.012037                 
5.1                      0.012037                 
5.15                     0.012037                 
5.2                      0.012037                 
5.25                     0.012037                 
5.3                      0.012037                 
5.35                     0.012037                 
5.4                      0.012037                 
5.45                     0.012037                 
5.5                      0.0134686                
5.55                     0.0152949                
5.6                      0.0171511                
5.65                     0.0190213                
5.7                      0.0208876                
5.75                     0.0227305                
5.8                      0.0245289                
5.85                     0.0262608                
5.9                      0.0279033                
5.95                     0.0294334                
6                        0.0308284                
6.05                     0.0320665                
6.1                      0.0331275                
6.15                     0.033993                 
6.2                      0.0346474                
6.25                     0.0350784                
6.3                      0.035277                 
