#Error for different scheme1
1-tau                    2-Maximum Error          3-EOCS                   
0.1                      inf                      	
0.05                     inf                      -nan
0.025                    inf                      -nan
0.0125                   inf                      -nan
0.00625                  inf                      -nan
0.003125                 0.158154                 inf
0.0015625                0.0649355                1.28425
0.00078125               0.030039                 1.11217
0.000390625              0.0144977                1.05101
0.000195313              0.00712717               1.02442
9.76563e-05              0.00353416               1.01196
4.88281e-05              0.00175984               1.00592
