#Error for different scheme 4
#1-tau                   2-Maximum Error          3-EOCS                   
0.5                      0.18484                  	
0.25                     0.0808383                1.19317
0.125                    0.0381877                1.08193
0.0625                   0.0185965                1.03808
0.03125                  0.00918048               1.01839
0.015625                 0.00456157               1.00904
0.0078125                0.00227371               1.00448
0.00390625               0.0011351                1.00223
0.00195312               0.000567111              1.00111
0.000976562              0.000283446              1.00056
0.000488281              0.000141696              1.00028
0.000244141              7.08411e-05              1.00014
