#Error vs time for scheme 1, model 3
#1-t                     2-Error(t)               
0                        0                        
0.05                     4.52974e-09              
0.1                      1.60145e-08              
0.15                     3.3525e-08               
0.2                      5.54903e-08              
0.25                     7.97642e-08              
0.3                      1.03718e-07              
0.35                     1.24352e-07              
0.4                      1.38427e-07              
0.45                     1.42601e-07              
0.5                      1.42601e-07              
0.55                     1.42601e-07              
0.6                      1.42601e-07              
0.65                     1.42601e-07              
0.7                      1.42601e-07              
0.75                     2.06704e-07              
0.8                      3.46822e-07              
0.85                     5.12605e-07              
0.9                      7.03488e-07              
0.95                     9.18278e-07              
1                        1.1552e-06               
1.05                     1.41195e-06              
1.1                      1.68576e-06              
1.15                     1.97349e-06              
1.2                      2.27171e-06              
1.25                     2.57679e-06              
1.3                      2.88495e-06              
1.35                     3.19243e-06              
1.4                      3.49549e-06              
1.45                     3.79053e-06              
1.5                      4.07415e-06              
1.55                     4.34321e-06              
1.6                      4.59487e-06              
1.65                     4.82663e-06              
1.7                      5.0364e-06               
1.75                     5.22248e-06              
1.8                      5.38357e-06              
1.85                     5.51883e-06              
1.9                      5.62782e-06              
1.95                     5.71052e-06              
2                        5.7673e-06               
2.05                     5.79891e-06              
2.1                      5.80645e-06              
2.15                     5.80645e-06              
2.2                      5.80645e-06              
2.25                     5.80645e-06              
2.3                      5.80645e-06              
2.35                     5.80645e-06              
2.4                      5.80645e-06              
2.45                     5.80645e-06              
2.5                      5.80645e-06              
2.55                     5.80645e-06              
2.6                      5.80645e-06              
2.65                     5.80645e-06              
2.7                      5.80645e-06              
2.75                     5.80645e-06              
2.8                      5.80645e-06              
2.85                     5.80645e-06              
2.9                      5.80645e-06              
2.95                     5.80645e-06              
3                        5.80645e-06              
3.05                     5.80645e-06              
3.1                      5.80645e-06              
3.15                     5.80645e-06              
3.2                      5.80645e-06              
3.25                     5.80645e-06              
3.3                      5.80645e-06              
3.35                     5.80645e-06              
3.4                      5.80645e-06              
3.45                     5.80645e-06              
3.5                      5.80645e-06              
3.55                     5.80645e-06              
3.6                      5.80645e-06              
3.65                     5.80645e-06              
3.7                      5.80645e-06              
3.75                     5.80645e-06              
3.8                      5.80645e-06              
3.85                     5.80645e-06              
3.9                      5.80645e-06              
3.95                     5.80645e-06              
4                        5.85086e-06              
4.05                     5.97011e-06              
4.1                      6.08137e-06              
4.15                     6.18363e-06              
4.2                      6.27616e-06              
4.25                     6.35857e-06              
4.3                      6.43079e-06              
4.35                     6.49315e-06              
4.4                      6.54639e-06              
4.45                     6.59166e-06              
4.5                      6.6306e-06               
4.55                     6.66525e-06              
4.6                      6.69814e-06              
4.65                     6.73224e-06              
4.7                      6.77093e-06              
4.75                     6.818e-06                
4.8                      6.87755e-06              
4.85                     6.95398e-06              
4.9                      7.05188e-06              
4.95                     7.17593e-06              
5                        7.33082e-06              
5.05                     7.52108e-06              
5.1                      7.75094e-06              
5.15                     8.02422e-06              
5.2                      8.3441e-06               
5.25                     8.71301e-06              
5.3                      9.13241e-06              
5.35                     9.60268e-06              
5.4                      1.01229e-05              
5.45                     1.06909e-05              
5.5                      1.1303e-05               
5.55                     1.19539e-05              
5.6                      1.26368e-05              
5.65                     1.33438e-05              
5.7                      1.40651e-05              
5.75                     1.47901e-05              
5.8                      1.55071e-05              
5.85                     1.62037e-05              
5.9                      1.68671e-05              
5.95                     1.74846e-05              
6                        1.80438e-05              
6.05                     1.8533e-05               
6.1                      1.89417e-05              
6.15                     1.9261e-05               
6.2                      1.94837e-05              
6.25                     1.96046e-05              
6.3                      1.96209e-05              
