#Error for different scheme 2
#1-tau                   2-Maximum Error          3-EOCS                   
0.1                      0.019201                 	
0.05                     0.00939352               1.03144
0.025                    0.004647                 1.01537
0.0125                   0.0023113                1.0076
0.00625                  0.00115263               1.00378
0.003125                 0.000575561              1.00188
0.0015625                0.000287593              1.00094
0.00078125               0.00014375               1.00047
0.000390625              7.18632e-05              1.00023
0.000195313              3.59287e-05              1.00012
9.76563e-05              1.79636e-05              1.00006
4.88281e-05              8.98161e-06              1.00003
