#Error vs time for scheme 1, model 1
#1-t                     2-Error(t)               
0                        0                        
0.1                      0.000326493              
0.2                      0.0011117                
0.3                      0.00229388               
0.4                      0.00379202               
0.5                      0.00551518               
0.6                      0.00737154               
0.7                      0.00927599               
0.8                      0.0111557                
0.9                      0.012953                 
1                        0.0146266                
1.1                      0.0161508                
1.2                      0.0175129                
1.3                      0.0187112                
1.4                      0.0197521                
1.5                      0.0206472                
1.6                      0.0214112                
1.7                      0.0220602                
1.8                      0.0226105                
1.9                      0.0230776                
2                        0.0234754                
2.1                      0.0238169                
2.2                      0.0241131                
2.3                      0.0243738                
2.4                      0.0246074                
2.5                      0.0248214                
2.6                      0.0250223                
2.7                      0.0252162                
2.8                      0.0254089                
2.9                      0.0256063                
3                        0.0258142                
3.1                      0.0260397                
3.2                      0.0262904                
3.3                      0.0265759                
3.4                      0.0269079                
3.5                      0.0273014                
3.6                      0.0277754                
3.7                      0.0283548                
3.8                      0.0290719                
3.9                      0.029969                 
4                        0.0311012                
4.1                      0.0325403                
4.2                      0.0343786                
4.3                      0.0367343                
4.4                      0.0397558                
4.5                      0.043627                 
4.6                      0.04857                  
4.7                      0.0548457                
4.8                      0.0627501                
4.9                      0.072604                 
5                        0.084735                 
5.1                      0.0994504                
5.2                      0.117001                 
5.3                      0.137535                 
5.4                      0.161054                 
5.5                      0.187359                 
5.6                      0.216016                 
5.7                      0.246322                 
5.8                      0.277311                 
5.9                      0.307776                 
6                        0.336326                 
6.1                      0.36149                  
6.2                      0.381834                 
6.3                      0.39611                  
