#Error vs time for scheme 1, model 1
#1-t                     2-Error(t)               
0                        0                        
0.05                     4.14492e-05              
0.1                      0.000144051              
0.15                     0.00030565               
0.2                      0.00052314               
0.25                     0.000792571              
0.3                      0.00110927               
0.35                     0.00146801               
0.4                      0.00186312               
0.45                     0.00228867               
0.5                      0.00273862               
0.55                     0.00320698               
0.6                      0.00368789               
0.65                     0.00417579               
0.7                      0.0046655                
0.75                     0.00515226               
0.8                      0.00563183               
0.85                     0.00610053               
0.9                      0.0065552                
0.95                     0.00699325               
1                        0.00741261               
1.05                     0.00781174               
1.1                      0.00818957               
1.15                     0.00854543               
1.2                      0.00887907               
1.25                     0.00919054               
1.3                      0.00948019               
1.35                     0.00974859               
1.4                      0.00999649               
1.45                     0.0102248                
1.5                      0.0104346                
1.55                     0.0106268                
1.6                      0.0108026                
1.65                     0.0109632                
1.7                      0.0111097                
1.75                     0.0112431                
1.8                      0.0113646                
1.85                     0.0114752                
1.9                      0.0115759                
1.95                     0.0116675                
2                        0.0117509                
2.05                     0.011827                 
2.1                      0.0118965                
2.15                     0.01196                  
2.2                      0.0120182                
2.25                     0.0120717                
2.3                      0.012121                 
2.35                     0.0121666                
2.4                      0.0122089                
2.45                     0.0122483                
2.5                      0.0122852                
2.55                     0.01232                  
2.6                      0.0123529                
2.65                     0.0123843                
2.7                      0.0124144                
2.75                     0.0124435                
2.8                      0.0124717                
2.85                     0.0124994                
2.9                      0.0125268                
2.95                     0.012554                 
3                        0.0125814                
3.05                     0.0126091                
3.1                      0.0126373                
3.15                     0.0126663                
3.2                      0.0126963                
3.25                     0.0127276                
3.3                      0.0127605                
3.35                     0.0127952                
3.4                      0.0128321                
3.45                     0.0128716                
3.5                      0.0129141                
3.55                     0.0129599                
3.6                      0.0130098                
3.65                     0.0130641                
3.7                      0.0131235                
3.75                     0.0131888                
3.8                      0.0132608                
3.85                     0.0133404                
3.9                      0.0134286                
3.95                     0.0135265                
4                        0.0136356                
4.05                     0.0137572                
4.1                      0.013893                 
4.15                     0.0140449                
4.2                      0.0142149                
4.25                     0.0144053                
4.3                      0.0146187                
4.35                     0.0148579                
4.4                      0.0151258                
4.45                     0.0154259                
4.5                      0.0157619                
4.55                     0.0161375                
4.6                      0.0165569                
4.65                     0.0170245                
4.7                      0.0175449                
4.75                     0.0181227                
4.8                      0.0187626                
4.85                     0.0194693                
4.9                      0.0202472                
4.95                     0.0211008                
5                        0.0220336                
5.05                     0.0230488                
5.1                      0.0241488                
5.15                     0.0253348                
5.2                      0.026607                 
5.25                     0.0279639                
5.3                      0.0294025                
5.35                     0.0309181                
5.4                      0.0325037                
5.45                     0.0341505                
5.5                      0.0358474                
5.55                     0.0375813                
5.6                      0.0393368                
5.65                     0.0410967                
5.7                      0.0428421                
5.75                     0.0445527                
5.8                      0.0462072                
5.85                     0.0477836                
5.9                      0.0492601                
5.95                     0.0506152                
6                        0.0518285                
6.05                     0.0528812                
6.1                      0.0537568                
6.15                     0.0544413                
6.2                      0.0549239                
6.25                     0.0551971                
6.3                      0.055257                 
