#Error for different scheme 1
#1-tau                   2-Maximum Error          3-EOCS                   
0.5                      0.117879                 	
0.25                     0.0514732                1.19542
0.125                    0.0242705                1.08462
0.0625                   0.0118053                1.03977
0.03125                  0.00582415               1.01932
0.015625                 0.00289292               1.00952
0.0078125                0.00144173               1.00473
0.00390625               0.000719686              1.00236
0.00195312               0.00035955               1.00118
0.000976562              0.000179702              1.00059
0.000488281              8.98326e-05              1.00029
0.000244141              4.49117e-05              1.00015
