#Error vs time for scheme 1, model 0
#1-t                     2-Error(t)               
0                        0                        
0.1                      0.000166583              
0.2                      0.000827757              
0.3                      0.00195058               
0.4                      0.00347043               
0.5                      0.00529784               
0.6                      0.00732837               
0.7                      0.00945376               
0.8                      0.0115726                
0.9                      0.0135987                
1                        0.0154667                
1.1                      0.0171337                
1.2                      0.0185783                
1.3                      0.0197973                
1.4                      0.0208013                
1.5                      0.0216097                
1.6                      0.022247                 
1.7                      0.0227389                
1.8                      0.02311                  
1.9                      0.0233828                
2                        0.0235764                
2.1                      0.0237066                
2.2                      0.023786                 
2.3                      0.0238243                
2.4                      0.0238288                
2.5                      0.0238046                
2.6                      0.0237551                
2.7                      0.0236821                
2.8                      0.0235863                
2.9                      0.023467                 
3                        0.0233226                
3.1                      0.02315                  
3.2                      0.0229452                
3.3                      0.0227025                
3.4                      0.0224146                
3.5                      0.0220723                
3.6                      0.0216636                
3.7                      0.0211738                
3.8                      0.0205845                
3.9                      0.0198726                
4                        0.0190097                
4.1                      0.0179612                
4.2                      0.0166846                
4.3                      0.0151292                
4.4                      0.0132347                
4.5                      0.0109308                
4.6                      0.00813722               
4.7                      0.00476477               
4.8                      0.00071787               
4.9                      0.00410126               
5                        0.0097859                
5.1                      0.0164156                
5.2                      0.0240444                
5.3                      0.0326862                
5.4                      0.0422993                
5.5                      0.0527706                
5.6                      0.0639021                
5.7                      0.0754028                
5.8                      0.0868881                
5.9                      0.0978903                
6                        0.107882                 
6.1                      0.11631                  
6.2                      0.122647                 
6.3                      0.126438                 
