#Error for different scheme 4
#1-tau                   2-Maximum Error          3-EOCS                   
0.5                      4.71804                  	
0.25                     2.9349                   0.684876
0.125                    0.5808                   2.3372
0.0625                   0.121691                 2.25482
0.03125                  0.0306862                1.98756
0.015625                 0.00788127               1.96109
0.0078125                0.00351655               1.16427
0.00390625               0.00175356               1.00388
0.00195312               0.000875602              1.00194
0.000976562              0.000437507              1.00097
0.000488281              0.00021868               1.00049
0.000244141              0.000109321              1.00024
