#Error for different scheme 1
#1-tau                   2-Maximum Error          3-EOCS                   
0.5                      4.15364                  	
0.25                     0.419862                 3.30639
0.125                    0.102161                 2.03907
0.0625                   0.0509531                1.00361
0.03125                  0.0254398                1.00208
0.015625                 0.0127121                1.00089
0.0078125                0.00635415               1.00043
0.00390625               0.0031766                1.00022
0.00195312               0.00158818               1.00011
0.000976562              0.000794061              1.00005
0.000488281              0.000397023              1.00003
0.000244141              0.00019851               1.00001
