#Error for different scheme3
1-tau                    2-Maximum Error          3-EOCS                   
0.5                      0.412302                 	
0.25                     0.082502                 2.3212
0.125                    0.00555962               3.89137
0.0625                   0.000224082              4.63289
0.03125                  2.36929e-06              6.56343
0.015625                 2.19752e-06              0.108575
0.0078125                3.9347e-07               2.48155
0.00390625               5.66015e-08              2.79734
0.00195312               7.53883e-09              2.90843
0.000976562              9.71491e-10              2.95607
0.000488281              1.2395e-10               2.97044
0.000244141              1.44092e-11              3.10469
