#Error for different scheme2
1-tau                    2-Maximum Error          3-EOCS                   
0.1                      0.0655266                	
0.05                     0.0170041                1.9462
0.025                    0.00713926               1.25203
0.0125                   0.00355854               1.00449
0.00625                  0.00177662               1.00215
0.003125                 0.000887642              1.00109
0.0015625                0.000443656              1.00054
0.00078125               0.000221786              1.00027
0.000390625              0.000110883              1.00013
0.000195313              5.54389e-05              1.00007
9.76563e-05              2.77188e-05              1.00003
4.88281e-05              1.38592e-05              1.00002
